 ,Area,Mean,Min,Max
99,400,255.000,255,255
100,25,255.000,255,255
101,25,255.000,255,255
102,75,255.000,255,255
103,418000,255.000,255,255
104,25,255.000,255,255
105,50,255.000,255,255
106,7875,255.000,255,255
107,1850,255.000,255,255
108,64475,255.000,255,255
109,25,255.000,255,255
110,50,255.000,255,255
111,50,255.000,255,255
112,50,255.000,255,255
113,25,255.000,255,255
114,1675,255.000,255,255
115,25,255.000,255,255
116,7925,255.000,255,255
117,25,255.000,255,255
118,15950,255.000,255,255
119,25,255.000,255,255
120,25,255.000,255,255
121,375,255.000,255,255
122,25,255.000,255,255
123,1450,255.000,255,255
124,6400,255.000,255,255
125,191425,255.000,255,255
126,3525,255.000,255,255
127,3200,255.000,255,255
128,25,255.000,255,255
129,75,255.000,255,255
130,1700,255.000,255,255
131,1225,255.000,255,255
132,50,255.000,255,255
133,25,255.000,255,255
134,25,255.000,255,255
135,25,255.000,255,255
136,125,255.000,255,255
137,50,255.000,255,255
138,3500,255.000,255,255
139,25600,255.000,255,255
140,25,255.000,255,255
141,75,255.000,255,255
142,2150,255.000,255,255
143,50,255.000,255,255
144,350,255.000,255,255
145,50,255.000,255,255
146,6200,255.000,255,255
147,50,255.000,255,255
148,425,255.000,255,255
149,25,255.000,255,255
150,25,255.000,255,255
151,25,255.000,255,255
152,950,255.000,255,255
153,25,255.000,255,255
154,75000,255.000,255,255
155,50,255.000,255,255
156,71850,255.000,255,255
157,550,255.000,255,255
158,625,255.000,255,255
159,25,255.000,255,255
160,25,255.000,255,255
161,25,255.000,255,255
162,25,255.000,255,255
163,25,255.000,255,255
164,25,255.000,255,255
165,850,255.000,255,255
166,25,255.000,255,255
167,75,255.000,255,255
168,50,255.000,255,255
169,3275,255.000,255,255
170,25,255.000,255,255
171,525,255.000,255,255
172,50,255.000,255,255
173,1450,255.000,255,255
174,25,255.000,255,255
175,25,255.000,255,255
176,450,255.000,255,255
177,125,255.000,255,255
178,125,255.000,255,255
179,25,255.000,255,255
180,25,255.000,255,255
181,19150,255.000,255,255
182,50,255.000,255,255
183,25,255.000,255,255
184,975,255.000,255,255
185,425,255.000,255,255
186,100,255.000,255,255
187,250,255.000,255,255
188,125,255.000,255,255
189,300,255.000,255,255
190,50,255.000,255,255
191,275,255.000,255,255
192,175,255.000,255,255
193,100,255.000,255,255
194,75,255.000,255,255
195,50,255.000,255,255
196,25,255.000,255,255
197,2025,255.000,255,255
198,25,255.000,255,255
199,9450,255.000,255,255
200,50,255.000,255,255
201,50650,255.000,255,255
202,7575,255.000,255,255
203,125,255.000,255,255
204,25,255.000,255,255
205,25,255.000,255,255
206,50,255.000,255,255
207,925,255.000,255,255
208,50,255.000,255,255
209,25,255.000,255,255
210,25,255.000,255,255
211,25,255.000,255,255
212,25,255.000,255,255
213,100,255.000,255,255
214,325,255.000,255,255
215,425,255.000,255,255
216,25,255.000,255,255
217,50,255.000,255,255
218,25,255.000,255,255
219,450,255.000,255,255
220,1925,255.000,255,255
221,50,255.000,255,255
222,125,255.000,255,255
223,300,255.000,255,255
224,225,255.000,255,255
225,500,255.000,255,255
226,325,255.000,255,255
227,50,255.000,255,255
228,25,255.000,255,255
229,800,255.000,255,255
230,50,255.000,255,255
231,75,255.000,255,255
232,600,255.000,255,255
233,50,255.000,255,255
234,25,255.000,255,255
235,9175,255.000,255,255
236,16250,255.000,255,255
237,2275,255.000,255,255
238,100,255.000,255,255
239,450,255.000,255,255
240,25,255.000,255,255
241,1250,255.000,255,255
242,125,255.000,255,255
243,50,255.000,255,255
244,100,255.000,255,255
245,25,255.000,255,255
246,13950,255.000,255,255
247,75,255.000,255,255
248,50,255.000,255,255
249,25,255.000,255,255
250,175,255.000,255,255
251,25,255.000,255,255
252,150,255.000,255,255
253,50,255.000,255,255
254,25,255.000,255,255
255,50,255.000,255,255
256,25,255.000,255,255
257,75,255.000,255,255
258,50,255.000,255,255
