 ,Area,Mean,Min,Max
411,25,255,255,255
412,25,255,255,255
413,100,255,255,255
414,11700,255,255,255
415,25,255,255,255
416,25,255,255,255
417,50,255,255,255
418,25,255,255,255
419,41325,255,255,255
420,25,255,255,255
421,225,255,255,255
422,25,255,255,255
423,25,255,255,255
424,25,255,255,255
425,25,255,255,255
426,475,255,255,255
427,250,255,255,255
428,250,255,255,255
429,25,255,255,255
430,50,255,255,255
431,75,255,255,255
432,2425,255,255,255
433,425,255,255,255
434,1350,255,255,255
435,50,255,255,255
436,300,255,255,255
437,25,255,255,255
438,100,255,255,255
439,1575,255,255,255
440,75,255,255,255
441,50,255,255,255
442,725,255,255,255
443,25,255,255,255
444,75,255,255,255
445,1550,255,255,255
446,25,255,255,255
447,25,255,255,255
448,1350,255,255,255
449,75,255,255,255
450,1825,255,255,255
451,25,255,255,255
452,25,255,255,255
453,25,255,255,255
454,25,255,255,255
455,175,255,255,255
456,225,255,255,255
457,25,255,255,255
458,450,255,255,255
459,350,255,255,255
460,25,255,255,255
461,25,255,255,255
462,625,255,255,255
463,25,255,255,255
464,550,255,255,255
465,57125,255,255,255
466,25,255,255,255
467,50,255,255,255
468,50,255,255,255
469,50,255,255,255
470,225,255,255,255
471,25,255,255,255
472,25,255,255,255
473,100,255,255,255
474,200,255,255,255
475,100,255,255,255
476,4300,255,255,255
477,100,255,255,255
478,175,255,255,255
479,50,255,255,255
480,825,255,255,255
481,25,255,255,255
482,400,255,255,255
483,50,255,255,255
484,350,255,255,255
485,25,255,255,255
486,25,255,255,255
487,125,255,255,255
488,25,255,255,255
489,25,255,255,255
490,25,255,255,255
491,150,255,255,255
492,25,255,255,255
493,875,255,255,255
494,25,255,255,255
495,400,255,255,255
496,1400,255,255,255
497,25,255,255,255
498,1450,255,255,255
499,175,255,255,255
500,25,255,255,255
501,75,255,255,255
502,125,255,255,255
503,25,255,255,255
504,50,255,255,255
505,325,255,255,255
506,600,255,255,255
507,1450,255,255,255
508,25,255,255,255
509,25,255,255,255
510,25,255,255,255
511,18550,255,255,255
512,475,255,255,255
513,275,255,255,255
514,25,255,255,255
515,25,255,255,255
516,1375,255,255,255
517,100,255,255,255
518,5025,255,255,255
519,50,255,255,255
520,650,255,255,255
521,25,255,255,255
522,100,255,255,255
523,375,255,255,255
524,25,255,255,255
525,100,255,255,255
526,25,255,255,255
527,100,255,255,255
528,675,255,255,255
529,350,255,255,255
530,525,255,255,255
531,50,255,255,255
532,25,255,255,255
533,75,255,255,255
534,50,255,255,255
535,800,255,255,255
536,50,255,255,255
537,75,255,255,255
538,125,255,255,255
539,375,255,255,255
540,25,255,255,255
541,750,255,255,255
542,50,255,255,255
543,725,255,255,255
544,25,255,255,255
545,25,255,255,255
546,25,255,255,255
547,700,255,255,255
548,25,255,255,255
549,25,255,255,255
550,125,255,255,255
551,4250,255,255,255
552,25,255,255,255
553,50,255,255,255
554,9450,255,255,255
555,25,255,255,255
556,800,255,255,255
557,225,255,255,255
558,125,255,255,255
559,50,255,255,255
560,109750,255,255,255
561,150,255,255,255
562,25,255,255,255
563,25,255,255,255
564,25,255,255,255
565,125,255,255,255
566,25,255,255,255
567,1625,255,255,255
568,2325,255,255,255
569,25,255,255,255
570,25,255,255,255
571,25,255,255,255
572,525,255,255,255
573,975,255,255,255
574,75,255,255,255
575,75,255,255,255
576,325,255,255,255
577,50,255,255,255
578,25,255,255,255
579,275,255,255,255
580,25,255,255,255
581,1000,255,255,255
582,75,255,255,255
583,25,255,255,255
584,325,255,255,255
585,50,255,255,255
586,25,255,255,255
587,25,255,255,255
588,9050,255,255,255
589,200,255,255,255
590,50,255,255,255
591,25,255,255,255
592,21150,255,255,255
593,175,255,255,255
594,25,255,255,255
595,500,255,255,255
596,25,255,255,255
597,600,255,255,255
598,2450,255,255,255
599,925,255,255,255
600,3450,255,255,255
601,275,255,255,255
602,25,255,255,255
603,725,255,255,255
604,50,255,255,255
605,25,255,255,255
606,500,255,255,255
607,699450,254.964,0,255
608,675,255,255,255
609,25,255,255,255
610,25,255,255,255
611,1000,255,255,255
612,100,255,255,255
613,450,255,255,255
614,25,255,255,255
615,475,255,255,255
616,25,255,255,255
617,25,255,255,255
618,450,255,255,255
619,25,255,255,255
620,25,255,255,255
621,2575,255,255,255
622,25,255,255,255
623,50,255,255,255
624,925,255,255,255
625,125,255,255,255
626,950,255,255,255
627,125,255,255,255
628,25,255,255,255
629,25,255,255,255
630,25,255,255,255
631,1425,255,255,255
632,25,255,255,255
633,525,255,255,255
634,200,255,255,255
635,350,255,255,255
636,525,255,255,255
637,4975,255,255,255
638,100,255,255,255
639,25,255,255,255
640,150,255,255,255
641,25,255,255,255
642,50,255,255,255
643,575,255,255,255
644,25,255,255,255
645,25,255,255,255
646,25,255,255,255
647,2725,255,255,255
648,700,255,255,255
649,25,255,255,255
650,50,255,255,255
651,25,255,255,255
652,200,255,255,255
653,175,255,255,255
654,25,255,255,255
655,25,255,255,255
656,25,255,255,255
657,2450,255,255,255
658,25,255,255,255
659,25,255,255,255
660,150,255,255,255
661,50,255,255,255
662,25,255,255,255
663,25,255,255,255
664,75,255,255,255
665,25,255,255,255
666,625,255,255,255
667,750,255,255,255
668,25,255,255,255
669,50,255,255,255
670,25,255,255,255
671,25,255,255,255
672,550,255,255,255
673,25,255,255,255
674,375,255,255,255
675,1800,255,255,255
676,25,255,255,255
677,25,255,255,255
678,100,255,255,255
679,25,255,255,255
680,150,255,255,255
681,25,255,255,255
682,50,255,255,255
683,2525,255,255,255
684,1975,255,255,255
685,25,255,255,255
686,250,255,255,255
687,25,255,255,255
688,25,255,255,255
689,2300,255,255,255
690,675,255,255,255
691,50,255,255,255
692,25,255,255,255
693,75,255,255,255
694,25,255,255,255
695,75,255,255,255
696,15300,255,255,255
697,1650,255,255,255
698,125,255,255,255
699,100,255,255,255
700,25,255,255,255
701,25,255,255,255
702,25,255,255,255
703,200,255,255,255
704,25,255,255,255
705,25,255,255,255
706,25,255,255,255
707,525,255,255,255
708,650,255,255,255
709,1850,255,255,255
710,50,255,255,255
711,100,255,255,255
712,75,255,255,255
713,25,255,255,255
714,25,255,255,255
715,12425,255,255,255
716,1225,255,255,255
717,50,255,255,255
718,25,255,255,255
719,50,255,255,255
720,175,255,255,255
721,25,255,255,255
722,25,255,255,255
723,200,255,255,255
724,25,255,255,255
725,25,255,255,255
