 ,Area,Mean,Min,Max
949,75,255,255,255
950,25,255,255,255
951,25,255,255,255
952,25,255,255,255
953,50,255,255,255
954,50,255,255,255
955,25,255,255,255
956,25,255,255,255
957,25,255,255,255
958,25,255,255,255
959,50,255,255,255
960,15750,255,255,255
961,25,255,255,255
962,25,255,255,255
963,25,255,255,255
964,25,255,255,255
965,25,255,255,255
966,25,255,255,255
967,25,255,255,255
968,25,255,255,255
969,50,255,255,255
970,25,255,255,255
971,25,255,255,255
972,25,255,255,255
973,50,255,255,255
974,25,255,255,255
975,25,255,255,255
976,25,255,255,255
977,25,255,255,255
978,25,255,255,255
979,25,255,255,255
980,25,255,255,255
981,25,255,255,255
982,25,255,255,255
983,25,255,255,255
984,25,255,255,255
985,25,255,255,255
986,25,255,255,255
987,25,255,255,255
988,25,255,255,255
989,25,255,255,255
990,25,255,255,255
991,25,255,255,255
992,25,255,255,255
993,25,255,255,255
994,25,255,255,255
995,50,255,255,255
996,25,255,255,255
997,25,255,255,255
998,92550,255,255,255
999,25,255,255,255
1000,25,255,255,255
1001,25,255,255,255
1002,50,255,255,255
1003,50,255,255,255
1004,50,255,255,255
1005,50,255,255,255
1006,25,255,255,255
1007,25,255,255,255
1008,25,255,255,255
1009,50,255,255,255
1010,25,255,255,255
1011,25,255,255,255
1012,50,255,255,255
1013,25,255,255,255
1014,25,255,255,255
1015,25,255,255,255
1016,25,255,255,255
1017,25,255,255,255
1018,50,255,255,255
1019,25,255,255,255
1020,25,255,255,255
1021,1450,255,255,255
1022,225,255,255,255
1023,62000,255,255,255
1024,25,255,255,255
1025,25,255,255,255
1026,125,255,255,255
1027,25,255,255,255
1028,25,255,255,255
1029,25,255,255,255
1030,50,255,255,255
1031,50,255,255,255
1032,25,255,255,255
1033,25,255,255,255
1034,25,255,255,255
1035,25,255,255,255
1036,25,255,255,255
1037,25,255,255,255
1038,25,255,255,255
1039,25,255,255,255
1040,25,255,255,255
1041,50,255,255,255
1042,25,255,255,255
1043,75,255,255,255
1044,25,255,255,255
1045,50,255,255,255
1046,25,255,255,255
1047,75,255,255,255
1048,25,255,255,255
1049,75,255,255,255
1050,25,255,255,255
1051,25,255,255,255
1052,25,255,255,255
1053,25,255,255,255
1054,25,255,255,255
1055,25,255,255,255
1056,25,255,255,255
1057,25,255,255,255
1058,25,255,255,255
1059,25,255,255,255
1060,25,255,255,255
1061,25,255,255,255
1062,25,255,255,255
1063,25,255,255,255
1064,25,255,255,255
1065,25,255,255,255
1066,25,255,255,255
1067,25,255,255,255
1068,25,255,255,255
1069,50,255,255,255
1070,25,255,255,255
1071,25,255,255,255
1072,50,255,255,255
1073,3600,255,255,255
1074,25,255,255,255
1075,25,255,255,255
1076,1800,255,255,255
1077,75,255,255,255
1078,25,255,255,255
1079,25,255,255,255
1080,50,255,255,255
1081,25,255,255,255
1082,50,255,255,255
1083,25,255,255,255
1084,25,255,255,255
1085,75,255,255,255
1086,50,255,255,255
1087,50,255,255,255
1088,50,255,255,255
1089,25,255,255,255
1090,50,255,255,255
1091,25,255,255,255
1092,25,255,255,255
1093,25,255,255,255
1094,25,255,255,255
1095,25,255,255,255
1096,25,255,255,255
1097,25,255,255,255
1098,25,255,255,255
1099,25,255,255,255
1100,25,255,255,255
1101,25,255,255,255
1102,25,255,255,255
1103,25,255,255,255
1104,25,255,255,255
1105,25,255,255,255
1106,25,255,255,255
1107,25,255,255,255
1108,10600,255,255,255
1109,25,255,255,255
1110,25,255,255,255
1111,50,255,255,255
1112,1050,255,255,255
1113,25,255,255,255
1114,25,255,255,255
1115,25,255,255,255
1116,50,255,255,255
1117,25,255,255,255
1118,50,255,255,255
1119,25,255,255,255
1120,25,255,255,255
1121,25,255,255,255
1122,25,255,255,255
1123,25,255,255,255
1124,25,255,255,255
1125,25,255,255,255
1126,25,255,255,255
1127,25,255,255,255
1128,125,255,255,255
1129,25,255,255,255
1130,25,255,255,255
1131,25,255,255,255
1132,50,255,255,255
1133,50,255,255,255
1134,25,255,255,255
1135,25,255,255,255
1136,50,255,255,255
1137,25,255,255,255
1138,25,255,255,255
1139,25,255,255,255
1140,425,255,255,255
1141,25,255,255,255
1142,25,255,255,255
1143,50,255,255,255
1144,25,255,255,255
1145,25,255,255,255
1146,25,255,255,255
1147,50,255,255,255
1148,25,255,255,255
1149,25,255,255,255
1150,75,255,255,255
1151,75,255,255,255
1152,150,255,255,255
1153,50,255,255,255
1154,25,255,255,255
1155,25,255,255,255
1156,25,255,255,255
1157,25,255,255,255
1158,100,255,255,255
1159,25,255,255,255
1160,175,255,255,255
1161,25,255,255,255
1162,25,255,255,255
1163,11825,255,255,255
1164,25,255,255,255
1165,25,255,255,255
1166,25,255,255,255
1167,25,255,255,255
1168,1177450,255,255,255
1169,25,255,255,255
1170,25,255,255,255
1171,25,255,255,255
1172,25,255,255,255
1173,75,255,255,255
1174,25,255,255,255
1175,25,255,255,255
1176,25,255,255,255
1177,50,255,255,255
1178,25,255,255,255
1179,50,255,255,255
1180,25,255,255,255
1181,25,255,255,255
1182,25,255,255,255
1183,6000,255,255,255
1184,25,255,255,255
1185,200,255,255,255
1186,100,255,255,255
1187,50,255,255,255
1188,25,255,255,255
1189,25,255,255,255
1190,8900,255,255,255
1191,75,255,255,255
1192,25,255,255,255
1193,25,255,255,255
1194,25,255,255,255
1195,25,255,255,255
1196,25,255,255,255
1197,25,255,255,255
1198,25,255,255,255
1199,75,255,255,255
1200,25,255,255,255
1201,50,255,255,255
1202,2100,255,255,255
1203,25,255,255,255
1204,25,255,255,255
1205,100,255,255,255
1206,50,255,255,255
1207,25,255,255,255
1208,25,255,255,255
1209,50,255,255,255
1210,25,255,255,255
1211,25,255,255,255
1212,75,255,255,255
1213,25,255,255,255
1214,25,255,255,255
1215,25,255,255,255
1216,25,255,255,255
1217,450,255,255,255
1218,25,255,255,255
1219,50,255,255,255
1220,25,255,255,255
1221,25,255,255,255
1222,25,255,255,255
1223,25,255,255,255
1224,450,255,255,255
1225,25,255,255,255
1226,25,255,255,255
1227,25,255,255,255
1228,50,255,255,255
1229,25,255,255,255
1230,1000,255,255,255
1231,175,255,255,255
1232,25,255,255,255
1233,50,255,255,255
1234,25,255,255,255
1235,25,255,255,255
1236,25,255,255,255
1237,125,255,255,255
1238,50,255,255,255
1239,50,255,255,255
1240,25,255,255,255
1241,100,255,255,255
1242,25,255,255,255
1243,25,255,255,255
1244,25,255,255,255
1245,125,255,255,255
1246,50,255,255,255
1247,25,255,255,255
1248,125,255,255,255
1249,25,255,255,255
1250,25,255,255,255
1251,25,255,255,255
1252,25,255,255,255
1253,25,255,255,255
1254,2150,255,255,255
1255,25,255,255,255
1256,75,255,255,255
1257,50,255,255,255
1258,25,255,255,255
1259,25,255,255,255
1260,25,255,255,255
1261,25,255,255,255
1262,25,255,255,255
1263,75,255,255,255
1264,25,255,255,255
1265,25,255,255,255
1266,25,255,255,255
1267,25,255,255,255
1268,25,255,255,255
1269,25,255,255,255
1270,25,255,255,255
1271,75,255,255,255
1272,50,255,255,255
1273,50,255,255,255
1274,25,255,255,255
1275,25,255,255,255
1276,25,255,255,255
1277,75,255,255,255
1278,25,255,255,255
1279,100,255,255,255
1280,25,255,255,255
1281,25,255,255,255
1282,25,255,255,255
1283,25,255,255,255
1284,100,255,255,255
1285,50,255,255,255
1286,25,255,255,255
1287,25,255,255,255
1288,25,255,255,255
1289,100,255,255,255
1290,275,255,255,255
1291,150,255,255,255
1292,50,255,255,255
1293,25,255,255,255
1294,25,255,255,255
1295,25,255,255,255
1296,25,255,255,255
1297,50,255,255,255
1298,25,255,255,255
1299,1475,255,255,255
1300,25,255,255,255
1301,25,255,255,255
1302,25,255,255,255
1303,25,255,255,255
1304,25,255,255,255
1305,25,255,255,255
1306,25,255,255,255
1307,25,255,255,255
1308,25,255,255,255
1309,50,255,255,255
1310,25,255,255,255
1311,75,255,255,255
1312,25,255,255,255
1313,50,255,255,255
1314,443950,255,255,255
1315,25,255,255,255
1316,25,255,255,255
1317,25,255,255,255
1318,25,255,255,255
1319,25,255,255,255
1320,50,255,255,255
1321,25,255,255,255
1322,25,255,255,255
1323,25,255,255,255
1324,25,255,255,255
1325,100,255,255,255
1326,150,255,255,255
1327,25,255,255,255
1328,25,255,255,255
1329,25,255,255,255
1330,25,255,255,255
1331,100,255,255,255
1332,25,255,255,255
1333,25,255,255,255
1334,25,255,255,255
1335,25,255,255,255
1336,25,255,255,255
1337,50,255,255,255
1338,25,255,255,255
1339,50,255,255,255
1340,100,255,255,255
1341,25,255,255,255
1342,25,255,255,255
1343,100,255,255,255
1344,25,255,255,255
1345,75,255,255,255
1346,25,255,255,255
1347,75,255,255,255
1348,50,255,255,255
1349,125,255,255,255
1350,25,255,255,255
1351,50,255,255,255
1352,25,255,255,255
